  author_code,  author_name
au0000002,[Bible]
au0000018,"Addison, Joseph"
au0000020,"Albert,"
au0000027,"Alletz, Pons Augustin"
au0000036,"Arnault de Nobleville, Louis-Daniel"
au0000041,"Aulnoy, Marie Catherine Le Jumel de Barneville d'"
au0000049,"Barrême, François Bertrand de"
au0000056,"Baudrand, Barthélemi"
au0000062,"Le Prince de Beaumont, Marie"
au0000065,"Beccaria, Cesare Bonesana"
au0000084,"Bienville, D. T. de"
au0000108,"Bossuet, Jacques Bénigne"
au0000114,"Bouhours, Dominique"
au0000126,"Boutauld, Michel"
au0000128,"Boutrolle, J. G."
au0000134,"Bret, Antoine"
au0000153,"Burney d'Arblay, Frances"
au0000179,"Caylus, Anne Claude Philippe, comte de"
au0000182,"Cervantes Saavedra, Miguel de"
au0000197,"Chaudon, Louis Mayeul"
au0000203,"Chompré, Pierre"
au0000228 ,"Corneille, Pierre"
au0000229 ,"Corneille, Thomas"
au0000238,"Crevier, Jean Baptiste Louis"
au0000241,"Crébillon, Claude Prosper Jolyot de"
au0000260,"Desfontaines, Pierre François Guyot"
au0000263,"Destouches, Philippe Néricault"
au0000271,"Dorat, Claude Joseph"
au0000278,"Duguay-Trouin, René"
au0000279,"Duguet, Jacques Joseph"
au0000292,"Echard, Laurence"
au0000298,"Espagnac, Jean Baptiste Joseph Damarzit-Sahuguet"
au0000318,"Fielding, Henry"
au0000319,"Fielding, Sarah"
au0000322,"Fleury, Claude"
au0000324,"Fléchier, Esprit"
au0000327,"Fontenelle, Bernard Le Bovier de"
au0000329,"Formey, Jean Henri Samuel"
au0000340,"Fresnais, Joseph Pierre"
au0000345,"Fénelon, François de Salignac de La Mothe"
au0000352,"Gautruche, Pierre"
au0000354,"Gessner, Salomon"
au0000377,"Graffigny, Françoise d'Issembourg d'Happoncourt "
au0000383,"Gresset, Jean Baptiste Louis"
au0000428,"Horatius Flaccus, Quintus"
au0000463,"La Fontaine, Jean de"
au0000471,"La Place, Pierre Antoine de"
au0000508,"Le Gendre, François"
au0000523,"Lenglet Du Fresnoy, Nicolas"
au0000529,"Lesage, Alain René"
au0000543,"Lolme, Jean Louis de"
au0000552,"Lucretius Carus, Titus"
au0000553,"Lussan, Marguerite de"
au0000578,"Marivaux, Pierre [de}"
au0000589,"Mazel, D."
au0000605,"Milleran, René"
au0000610,"Milton, John"
au0000611,"Mirabaud, Jean Baptiste de"
au0000614,"Molière, Jean-Baptiste Poquelin"
au0000619,"Montaigne, Michel Eyquem"
au0000621,"Montesquieu, Charles Louis de Secondat"
au0000634,"Mouhy, Charles de Fieux"
au0000646,"Nepos, Cornelius"
au0000659,"Olivier, J"
au0000668,"Oxenstierna, Johan Turesson"
au0000702,"Phaedrus, Caius Julius"
au0000708,"Piron, Alexis"
au0000711,"Plutarchus, Lucius Mestrius"
au0000725,"Prault, Louis Laurent"
au0000729,"Proyart, Liévain Bonaventure"
au0000730,"Prévost, Antoine François"
au0000741,"Racine, Jean"
au0000742,"Racine, Louis"
au0000754,"Restaut, Pierre"
au0000756,"Reyre, Joseph"
