book_code,author_code,author_type,certain
bk0000424,au0001383,Primary,
bk0000601,au0000605,Primary,
bk0001023,au0000036,Primary,
bk0001023,au0000036,Primary,
bk0001023,au0000809,Secondary,
bk0001023,au0000809,Secondary,
bk0001138,au0000182,Primary,
bk0001138,au0001293,Translator,
bk0001148,au0000203,Primary,
bk0001200,au0000271,Primary,
bk0001209,au0000278,Primary,
bk0001209,au0000868,Secondary,
bk0001299,au0000383,Primary,
bk0001529,au0000614,Primary,
bk0001531,au0000614,Primary,
bk0001589,au0000668,Primary,
bk0001816,au0000922,Primary,
bk0001936,au0000508,Primary,
bk0003891,au0000553,Primary,
bk0004372,au0000327,Primary,
bk0004411,au0001490,Primary,
bk0004485,au0001456,Primary,
bk0005082,au0001664,Primary,
bk0005083,au0001664,Primary,
bk0005118,au0000377,Primary,
bk0005119,au0000377,Primary,
bk0005119,au0002304,Translator,
bk0005214,au0001078,Editor,
bk0005214,au0000322,Primary,
bk0005214,au0010199,Secondary,
bk0010000,au0000027,Primary,
bk0010001,au0000027,Primary,
bk0010002,au0000027,Primary,
bk0010003,au0000027,Primary,
bk0010004,au0000056,Primary,
bk0010005,au0000056,Primary,
bk0010006,au0000056,Primary,
bk0010007,au0000056,Primary,
bk0010008,au0000756,Primary,
bk0010009,au0000756,Primary,
bk0010010,au0000756,Primary,
bk0010011,au0000756,Primary,
bk0010012,au0000756,Primary,
bk0010013,au0000352,Primary,
bk0010013,au0002272,Translator,
bk0010014,au0000352,Primary,
bk0010014,au0002272,Translator,
bk0010015,au0000352,Primary,
bk0010015,au0002272,Translator,
bk0010016,au0000352,Primary,
bk0010016,au0002272,Translator,
bk0010017,au0000508,Primary,
bk0010018,au0000508,Primary,
bk0010019,au0000508,Primary,
bk0010020,au0000872,Primary,
bk0010021,au0000872,Primary,
bk0010022,au0000872,Primary,
bk0010023,au0000872,Primary,
bk0010024,au0000128,Primary,
bk0010025,au0000128,Primary,
bk0010026,au0000758,Primary,
bk0010026,au0000730,Translator,
bk0010027,au0000020,Primary,
bk0010028,au0000203,Primary,
bk0010029,au0000203,Primary,
bk0010030,au0000203,Primary,
bk0010031,au0000203,Primary,
bk0010032,au0000203,Primary,
bk0010033,au0000203,Primary,
bk0010034,au0000203,Primary,
bk0010035,au0000203,Primary,
bk0010036,au0000203,Primary,
bk0010037,au0001151,Primary,
bk0010038,au0001151,Primary,
bk0010039,au0001151,Primary,
bk0010040,au0000108,Primary,
bk0010041,au0000108,Primary,
bk0010042,au0000108,Primary,
bk0010043,au0000108,Primary,
bk0010043,au0010202,Secondary,
bk0010044,au0000108,Primary,
bk0010045,au0000108,Primary,
bk0010046,au0000108,Primary,
bk0010047,au0000730,Primary,
bk0010048,au0000730,Primary,
bk0010049,au0000329,Primary,
bk0010050,au0000329,Primary,
bk0010051,au0000329,Primary,
bk0010052,au0000329,Primary,
bk0010053,au0000329,Primary,
bk0010054,au0000948,Primary,
bk0010055,au0000948,Primary,
bk0010056,au0000948,Primary,
bk0010057,au0000725,Primary,
bk0010058,au0000958,Primary,
bk0010059,au0000958,Primary,
bk0010060,au0000958,Primary,
bk0010061,au0001383,Primary,
bk0010062,au0001383,Primary,
bk0010063,au0000754,Primary,
bk0010064,au0000754,Primary,
bk0010065,au0000754,Primary,
bk0010066,au0000754,Primary,
bk0010067,au0000754,Primary,
bk0010068,au0000754,Primary,
bk0010069,au0000754,Primary,
bk0010070,au0000758,Primary,
bk0010070,au0000730,Translator,
bk0010071,au0000758,Primary,
bk0010071,au0000730,Translator,
bk0010072,au0000758,Primary,
bk0010072,au0000730,Translator,
bk0010073,au0000523,Primary,
bk0010074,au0000523,Primary,
bk0010075,au0000931,Primary,
bk0010076,au0000931,Primary,
bk0010077,au0000931,Primary,
bk0010078,au0000931,Primary,
bk0010079,au0000931,Primary,
bk0010080,au0000931,Primary,
bk0010081,au0000931,Primary,
bk0010082,au0000931,Primary,
bk0010083,au0000931,Primary,
bk0010084,au0000931,Primary,
bk0010085,au0000931,Primary,
bk0010086,au0000931,Primary,
bk0010087,au0000182,Primary,
bk0010088,au0000298,Primary,
bk0010089,au0000318,Primary,
bk0010089,au0000471,Translator,
bk0010090,au0000914,Primary,
bk0010091,au0000914,Primary,
bk0010092,au0000914,Primary,
bk0010093,au0000914,Primary,
bk0010094,au0000931,Primary,
bk0010095,au0000931,Primary,
bk0010096,au0000931,Primary,
bk0010097,au0000352,Primary,
bk0010098,au0000428,Primary,
bk0010099,au0000428,Primary,
bk0010100,au0000428,Primary,
bk0010101,au0010224,Editor,
bk0010101,au0000428,Primary,
bk0010102,au0000783,Primary,
bk0010103,au0001272,Primary,
bk0010104,au0001060,Primary,
bk0010105,au0001060,Primary,
bk0010106,au0001060,Primary,
bk0010107,au0001060,Primary,
bk0010108,au0001060,Primary,
bk0010109,au0001060,Primary,
bk0010110,au0001060,Primary,
bk0010111,au0001060,Primary,
bk0010112,au0001060,Primary,
bk0010113,au0001060,Primary,
bk0010113,au0010190,Secondary,
bk0010113,au0010096,Secondary,
bk0010113,au0010198,Secondary,
bk0010114,au0001060,Primary,
bk0010114,au0010190,Secondary,
bk0010114,au0010096,Secondary,
bk0010114,au0010198,Secondary,
bk0010115,au0001060,Primary,
bk0010115,au0010190,Secondary,
bk0010115,au0010096,Secondary,
bk0010115,au0010198,Secondary,
bk0010116,au0001060,Primary,
bk0010116,au0010190,Secondary,
bk0010116,au0010096,Secondary,
bk0010116,au0010198,Secondary,
bk0010117,au0001060,Primary,
bk0010117,au0010190,Secondary,
bk0010117,au0010096,Secondary,
bk0010117,au0010198,Secondary,
bk0010118,au0001060,Primary,
bk0010118,au0010190,Secondary,
bk0010118,au0010096,Secondary,
bk0010118,au0010198,Secondary,
bk0010119,au0001060,Primary,
bk0010119,au0010190,Secondary,
bk0010119,au0010096,Secondary,
bk0010119,au0010198,Secondary,
bk0010120,au0001060,Primary,
bk0010120,au0010190,Secondary,
bk0010120,au0010096,Secondary,
bk0010120,au0010198,Secondary,
bk0010121,au0001060,Primary,
bk0010121,au0010190,Secondary,
bk0010121,au0010096,Secondary,
bk0010121,au0010198,Secondary,
bk0010122,au0001060,Primary,
bk0010122,au0010190,Secondary,
bk0010122,au0010096,Secondary,
bk0010122,au0010198,Secondary,
bk0010123,au0001060,Primary,
bk0010123,au0010190,Secondary,
bk0010123,au0010096,Secondary,
bk0010123,au0010198,Secondary,
bk0010124,au0001060,Primary,
bk0010124,au0010190,Secondary,
bk0010124,au0010096,Secondary,
bk0010124,au0010198,Secondary,
bk0010125,au0001060,Primary,
bk0010125,au0010190,Secondary,
bk0010125,au0010096,Secondary,
bk0010125,au0010198,Secondary,
bk0010126,au0001060,Primary,
bk0010126,au0010190,Secondary,
bk0010126,au0010096,Secondary,
bk0010126,au0010198,Secondary,
bk0010127,au0001060,Primary,
bk0010127,au0010190,Secondary,
bk0010127,au0010096,Secondary,
bk0010127,au0010198,Secondary,
bk0010128,au0001060,Primary,
bk0010128,au0010190,Secondary,
bk0010128,au0010096,Secondary,
bk0010128,au0010198,Secondary,
bk0010129,au0001060,Primary,
bk0010129,au0010190,Secondary,
bk0010129,au0010096,Secondary,
bk0010129,au0010198,Secondary,
bk0010130,au0001060,Primary,
bk0010130,au0010190,Secondary,
bk0010130,au0010096,Secondary,
bk0010130,au0010198,Secondary,
bk0010131,au0001060,Primary,
bk0010131,au0010190,Secondary,
bk0010131,au0010096,Secondary,
bk0010131,au0010198,Secondary,
bk0010132,au0001060,Primary,
bk0010132,au0010190,Secondary,
bk0010132,au0010096,Secondary,
bk0010132,au0010198,Secondary,
bk0010133,au0001060,Primary,
bk0010133,au0010190,Secondary,
bk0010133,au0010096,Secondary,
bk0010133,au0010198,Secondary,
bk0010134,au0001060,Primary,
bk0010134,au0010190,Secondary,
bk0010134,au0010096,Secondary,
bk0010134,au0010198,Secondary,
bk0010135,au0001060,Primary,
bk0010135,au0010190,Secondary,
bk0010135,au0010096,Secondary,
bk0010135,au0010198,Secondary,
bk0010136,au0001060,Primary,
bk0010136,au0010190,Secondary,
bk0010136,au0010096,Secondary,
bk0010136,au0010198,Secondary,
bk0010137,au0001060,Primary,
bk0010137,au0010190,Secondary,
bk0010137,au0010096,Secondary,
bk0010137,au0010198,Secondary,
bk0010138,au0001060,Primary,
bk0010138,au0010190,Secondary,
bk0010138,au0010096,Secondary,
bk0010138,au0010198,Secondary,
bk0010139,au0001060,Primary,
