  super_book_code,  super_book_title,  keywords,  parisian_keyword,Illegality
spbk0000038,Agronome (l'): ou Dictionnaire portatif du cultivateur,,,Permitted work (permission simple)
spbk0000040,"Albert moderne (l'), ou Nouveaux secrets éprouvés",,,Permitted work (permission simple)
spbk0000056,Ame (l') élevée à dieu par les réflexions et les sentimens,,,Permitted work (permission simple)
spbk0000069,Ami (l') des enfans,,,Permitted work (permission simple)
spbk0000129,"Appendix de Diis et heroibus poeticis, ou abrégé de l'histoire poétique",,,Permitted work (permission simple)
spbk0000137,Arithmétique de le Gendre,,,Permitted work (permission simple)
spbk0000180,Avis au peuple [sur sa santé] par M Tissot,,,Permitted work (permission simple)
spbk0000241,Parfait (le) bouvier,,,Permitted work (permission simple)
spbk0000315,Chefs (les) d'oeuvres de Molière,,,Permitted work (permission simple)
spbk0000333,Histoire de Miss Clarisse Harlowe,,,Permitted work (permission simple)
spbk0000382,Confidence d'une jolie femme,,,Permitted work (permission simple)
spbk0000527,Dictionnaire abrégé de la fable,,,Permitted work (permission simple)
spbk0000536,"Dictionnaire français et latin, de Joubert",,,Permitted work (permission simple)
spbk0000588,"Discours sur l'histoire universelle, de Bossuet",,,Permitted work (permission simple)
spbk0000619,Doyen (Le) de Killerine,,,Permitted work (permission simple)
spbk0000714,Abrégé de toutes les sciences à l'usage des enfans,,,Permitted work (permission simple)
spbk0000741,Colloques choises d'Erasme,,,Permitted work (permission simple)
spbk0000754,Esprit (l') de Henri IV,,,Permitted work (permission simple)
spbk0000865,Eutropii breviarum historiae romanae,,,Permitted work (permission simple)
spbk0000950,Géographie de Buffier,,,Permitted work (permission simple)
spbk0000972,Principes généraux et raisonnés de la grammaire française,,,Permitted work (permission simple)
spbk0000982,"Nouvelles [lettres] anglaises, ou Histoire du chevalier Grandisson [Grandison], etc",,,Permitted work (permission simple)
spbk0001001,"Géographie des enfans, ou méthode abrégée de la géographie",,,Permitted work (permission simple)
spbk0001022,"Henriade (la) de Voltaire, [avec] les variantes [et] avec les poèmes des bataillies de Fontenoy et de Lauvfled",,,Permitted work (permission simple)
spbk0001056,Histoire de Dom Quichotte avec des figures,,,Permitted work (permission simple)
spbk0001076,"Histoire du maréchal de Saxe, par le baron d'Espagnac",,,Permitted work (permission simple)
spbk0001085,"Histoire de Tom Jones, ou l'Enfant trouvé",,,Permitted work (permission simple)
spbk0001132,Histoire des révolutions romaines,,,Permitted work (permission simple)
spbk0001137,"Histoire de Charles XII, roi de Suède",,,Permitted work (permission simple)
spbk0001178,"Histoire poétique, par le P. Gautruche",,,Permitted work (permission simple)
spbk0001216,Horatii opera,,,Permitted work (permission simple)
spbk0001216,"Horatii Flacci opera juxta exemplar ad usum serenissimi Delphini, cum notis, & c",,,Permitted work (permission simple)
spbk0001220,Nouvelle Héloïse (La),,,Permitted work (permission simple)
spbk0001228,Iliade d'Homère,,,Permitted work (permission simple)
spbk0001230,"De Imitatione JC. [Jesu Christi], libri quatuor",,,Permitted work (permission simple)
spbk0001257,"Instruction sur l'histoire de France et romaine, par M. Le Ragois",,,Permitted work (permission simple)
spbk0001287,Jardinière (la) de Vincennes,,,Permitted work (permission simple)
spbk0001289,Gerusalemme (La) liberato fi torquato Tasso,,,Permitted work (permission simple)
